idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
533363,1,1,5,1,16,2,0,0,0.0,0.0,3,1,0,0,0,0,1,911,25.0,212,0.0,0,17,de_mirage,10,1.0,2.0,0.0,3.0,13.0,4.0,2.0,2.0,1.0,0.0,0,2022-02-14 13:27:48,I
533377,2,15,9,4,26,4,0,4,0.0,0.0,5,2,0,0,0,0,4,1455,40.0,282,0.0,0,27,de_vertigo,2,1.0,3.0,0.0,5.0,12.0,14.0,0.0,6.0,3.0,0.0,1,2022-02-14 13:27:48,I
533403,3,41,33,7,19,16,2,2,0.0,0.0,9,7,2,1,0,0,5,3971,97.0,613,0.0,0,29,de_vertigo,14,10.0,1.0,0.0,21.0,42.0,19.0,3.0,8.0,2.0,2.0,1,2022-02-14 13:27:48,I
533475,4,113,6,0,17,3,0,1,0.0,0.0,3,0,1,0,0,0,0,713,17.0,140,0.0,0,19,de_mirage,0,2.0,1.0,0.0,3.0,6.0,3.0,0.0,3.0,1.0,1.0,0,2022-02-14 13:27:48,I
533479,5,117,17,3,18,10,1,3,0.0,0.0,5,3,2,0,0,0,0,2207,64.0,379,1.0,1,23,de_dust2,2,4.0,2.0,0.0,15.0,25.0,15.0,3.0,4.0,2.0,0.0,0,2022-02-14 13:27:48,I
533488,6,126,18,6,18,7,0,0,0.0,0.0,5,4,0,0,1,0,4,2805,84.0,448,1.0,1,25,de_vertigo,10,6.0,4.0,1.0,8.0,47.0,21.0,0.0,6.0,1.0,1.0,0,2022-02-14 13:27:48,I
533514,7,152,10,8,22,5,0,6,0.0,0.0,6,2,0,0,0,0,1,2061,61.0,362,1.0,1,30,de_inferno,5,7.0,4.0,0.0,9.0,21.0,14.0,3.0,6.0,3.0,5.0,1,2022-02-14 13:27:48,I
533524,8,162,6,5,25,1,0,1,0.0,0.0,2,2,0,0,0,0,1,1362,43.0,292,0.0,0,30,de_vertigo,0,5.0,6.0,1.0,2.0,15.0,14.0,3.0,3.0,3.0,3.0,0,2022-02-14 13:27:48,I
533554,9,192,34,0,19,14,1,5,0.0,1.0,14,6,1,0,1,0,3,3289,74.0,426,1.0,1,30,de_train,11,10.0,0.0,0.0,17.0,34.0,7.0,3.0,7.0,2.0,4.0,0,2022-02-14 13:27:48,I
533862,10,500,22,4,20,11,1,2,0.0,0.0,4,4,2,1,0,0,1,2769,65.0,447,0.0,0,26,de_mirage,20,5.0,6.0,1.0,15.0,27.0,13.0,2.0,4.0,0.0,4.0,1,2022-02-14 13:27:48,I
534412,11,1050,21,5,25,9,1,0,0.0,0.0,11,2,2,0,0,0,3,3017,81.0,810,1.0,1,35,de_overpass,17,9.0,5.0,0.0,10.0,32.0,22.0,2.0,9.0,1.0,5.0,0,2022-02-14 13:27:48,I
